label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
A,0.0,0.0,0.0,-0.2656481862068176,-0.12783820927143097,-0.12026190757751465,-0.4730921983718872,-0.37013041973114014,-0.19946996867656708,-0.6134523749351501,-0.5611470341682434,-0.26971033215522766,-0.7302265763282776,-0.7234835028648376,-0.347072571516037,-0.31046223640441895,-0.9292299151420593,-0.15272225439548492,-0.4225846529006958,-1.2603923082351685,-0.27599814534187317,-0.5021027326583862,-1.4664714336395264,-0.3814679682254791,-0.5684206485748291,-1.6325042247772217,-0.45809468626976013,-0.13944277167320251,-0.990230143070221,-0.18154670298099518,-0.1816137582063675,-1.39523184299469,-0.29968366026878357,-0.22077006101608276,-1.6247808933258057,-0.39761024713516235,-0.2545017600059509,-1.8104946613311768,-0.46601858735084534,0.03170521557331085,-0.9552529454231262,-0.22575290501117706,0.023844394832849503,-1.3682163953781128,-0.3503364026546478,0.004775783512741327,-1.6350692510604858,-0.4212052524089813,-0.017044851556420326,-1.8641749620437622,-0.4670878052711487,0.2028902918100357,-0.8310794234275818,-0.2784370481967926,0.257508784532547,-1.1590566635131836,-0.389275461435318,0.27650851011276245,-1.3764182329177856,-0.42692598700523376,0.2831112742424011,-1.5676802396774292,-0.4498739242553711
A,0.0,0.0,0.0,-0.2775234580039978,-0.11336860060691833,-0.14389796555042267,-0.4959214925765991,-0.3539060354232788,-0.2499200850725174,-0.6462095975875854,-0.5489391088485718,-0.3444496989250183,-0.7581397891044617,-0.7373961806297302,-0.4429703950881958,-0.31996020674705505,-0.9315635561943054,-0.19777275621891022,-0.44921115040779114,-1.291198492050171,-0.3498527407646179,-0.5402823686599731,-1.511345624923706,-0.4700812101364136,-0.612637460231781,-1.683408260345459,-0.5514984726905823,-0.1463867425918579,-0.9892274141311646,-0.21944114565849304,-0.21381619572639465,-1.3813668489456177,-0.3631822168827057,-0.26472148299217224,-1.6206773519515991,-0.4730619490146637,-0.3045874834060669,-1.8103859424591064,-0.5464728474617004,0.027735142037272453,-0.9519451260566711,-0.25861626863479614,0.013489332050085068,-1.338449478149414,-0.39100125432014465,-0.00531487911939621,-1.6024894714355469,-0.4692438244819641,-0.017703527584671974,-1.8278489112854004,-0.5191858410835266,0.19814006984233856,-0.8312011957168579,-0.3092138171195984,0.2468615174293518,-1.1492658853530884,-0.4219793677330017,0.25733673572540283,-1.3837945461273193,-0.47092705965042114,0.26429837942123413,-1.5957345962524414,-0.5000393390655518
A,0.0,0.0,0.0,-0.2779383957386017,-0.15696246922016144,-0.12841743230819702,-0.5022963881492615,-0.44473981857299805,-0.2079450637102127,-0.66025710105896,-0.7012203931808472,-0.27779579162597656,-0.7729703187942505,-0.9453403949737549,-0.34770703315734863,-0.30316582322120667,-0.9318938255310059,-0.14853614568710327,-0.4291709363460541,-1.266948938369751,-0.27938899397850037,-0.5208761692047119,-1.4580464363098145,-0.38221362233161926,-0.6076032519340515,-1.6142170429229736,-0.4526328444480896,-0.12068808078765869,-0.9926905035972595,-0.17144329845905304,-0.20575015246868134,-1.380699634552002,-0.30046260356903076,-0.2924659550189972,-1.6124087572097778,-0.3960401117801666,-0.3783259391784668,-1.7947882413864136,-0.4576318562030792,0.062370579689741135,-0.9508913159370422,-0.21331104636192322,0.04224790632724762,-1.364174246788025,-0.34779536724090576,-0.0025856338907033205,-1.6213880777359009,-0.42771854996681213,-0.05601348355412483,-1.8412705659866333,-0.47507137060165405,0.2399083524942398,-0.8235487937927246,-0.2635534107685089,0.28695860505104065,-1.1514246463775635,-0.3840719759464264,0.29289063811302185,-1.3778412342071533,-0.4366704821586609,0.2767523229122162,-1.5807108879089355,-0.46580833196640015
A,0.0,0.0,0.0,-0.29743054509162903,-0.14203135669231415,-0.14911437034606934,-0.5250648856163025,-0.4299653470516205,-0.2454562783241272,-0.6894301772117615,-0.6825588941574097,-0.3327407240867615,-0.8194665908813477,-0.934217631816864,-0.42373934388160706,-0.3184754252433777,-0.9348069429397583,-0.17050272226333618,-0.448281466960907,-1.267041563987732,-0.32711148262023926,-0.5476716160774231,-1.4466780424118042,-0.45262277126312256,-0.6378015279769897,-1.597241759300232,-0.5394672155380249,-0.13889342546463013,-0.9903073310852051,-0.19279596209526062,-0.23304392397403717,-1.3777995109558105,-0.34381672739982605,-0.31773310899734497,-1.6027663946151733,-0.4643380641937256,-0.40209197998046875,-1.7929595708847046,-0.5487517714500427,0.04040512070059776,-0.948076605796814,-0.23792152106761932,0.015048248693346977,-1.344662070274353,-0.39228296279907227,-0.03392637521028519,-1.5927890539169312,-0.49656713008880615,-0.09029197692871094,-1.8097636699676514,-0.5633251070976257,0.2143167108297348,-0.8212655186653137,-0.29346147179603577,0.2579127252101898,-1.14274001121521,-0.432268351316452,0.2607516646385193,-1.3640353679656982,-0.5090890526771545,0.24454383552074432,-1.564479947090149,-0.5596199631690979
A,0.0,0.0,0.0,-0.265682190656662,-0.2012140452861786,-0.10130534321069717,-0.4649842381477356,-0.5414170026779175,-0.1534624546766281,-0.6253040432929993,-0.8125831484794617,-0.20642638206481934,-0.7676880955696106,-1.0302084684371948,-0.2555105984210968,-0.23724383115768433,-0.9467288851737976,-0.02590775676071644,-0.3721589744091034,-1.2371182441711426,-0.13448020815849304,-0.48273590207099915,-1.3824949264526367,-0.23628605902194977,-0.5876988768577576,-1.511393427848816,-0.3074321448802948,-0.08014778792858124,-0.9967830181121826,-0.04308100789785385,-0.17769590020179749,-1.315337896347046,-0.133745476603508,-0.2696840167045593,-1.4995067119598389,-0.2187117338180542,-0.35909801721572876,-1.661219835281372,-0.2783696949481964,0.08550690859556198,-0.9636905193328857,-0.08287835121154785,0.043359749019145966,-1.2885992527008057,-0.17064569890499115,-0.01566113345324993,-1.4854438304901123,-0.21530014276504517,-0.08438947051763535,-1.660089135169983,-0.24211306869983673,0.24926002323627472,-0.8588947057723999,-0.13520914316177368,0.24595259130001068,-1.1217470169067383,-0.20454752445220947,0.2177475243806839,-1.2980018854141235,-0.22526919841766357,0.17769812047481537,-1.4561688899993896,-0.2353007197380066
A,0.0,0.0,0.0,-0.2748570144176483,-0.19953441619873047,-0.10543554276227951,-0.47903090715408325,-0.543258786201477,-0.16461428999900818,-0.6345883011817932,-0.8254745602607727,-0.22570349276065826,-0.7762995958328247,-1.0519517660140991,-0.2845263183116913,-0.2387591302394867,-0.9559813141822815,-0.022539133206009865,-0.3715594708919525,-1.260071873664856,-0.1493649184703827,-0.4904341995716095,-1.4099931716918945,-0.270306795835495,-0.6049748063087463,-1.5270531177520752,-0.3520260751247406,-0.07893944531679153,-0.9968793988227844,-0.04171530529856682,-0.1743174046278,-1.323906660079956,-0.1464732438325882,-0.271883487701416,-1.5130380392074585,-0.2474927306175232,-0.3700292110443115,-1.6788119077682495,-0.31826913356781006,0.08826638013124466,-0.9626368284225464,-0.08617202192544937,0.044228486716747284,-1.2916879653930664,-0.18358953297138214,-0.01621083915233612,-1.496508002281189,-0.23999832570552826,-0.08316054940223694,-1.6773169040679932,-0.2743072509765625,0.2545420825481415,-0.8563753366470337,-0.14403575658798218,0.25088784098625183,-1.1235415935516357,-0.22034068405628204,0.22461748123168945,-1.3056646585464478,-0.24923928081989288,0.18985189497470856,-1.471603512763977,-0.26510104537010193
A,0.0,0.0,0.0,-0.26914817094802856,-0.1943734586238861,-0.10523074120283127,-0.47318407893180847,-0.5389092564582825,-0.16453902423381805,-0.6277119517326355,-0.8227348923683167,-0.2249189168214798,-0.7699096202850342,-1.04780912399292,-0.282734215259552,-0.23425894975662231,-0.9549088478088379,-0.02609933353960514,-0.3674342632293701,-1.2569561004638672,-0.15087638795375824,-0.48590362071990967,-1.4060823917388916,-0.2690778076648712,-0.5994899272918701,-1.5245589017868042,-0.34936395287513733,-0.07562847435474396,-0.9971360564231873,-0.044563453644514084,-0.17187641561031342,-1.3210744857788086,-0.14763392508029938,-0.2681761682033539,-1.5094735622406006,-0.24599455296993256,-0.36426448822021484,-1.6763767004013062,-0.31508490443229675,0.09133338183164597,-0.9614753723144531,-0.08770126104354858,0.046795040369033813,-1.2888473272323608,-0.18401767313480377,-0.01166567299515009,-1.4911779165267944,-0.23839960992336273,-0.07679635286331177,-1.6712641716003418,-0.27151989936828613,0.2573370635509491,-0.8535974621772766,-0.1440034657716751,0.25360623002052307,-1.1199965476989746,-0.21983054280281067,0.2276962250471115,-1.3001487255096436,-0.24767321348190308,0.19229409098625183,-1.4644628763198853,-0.26267898082733154
A,0.0,0.0,0.0,-0.28885525465011597,-0.2615540325641632,-0.08139961957931519,-0.5049974322319031,-0.6425346732139587,-0.12663699686527252,-0.6429612636566162,-0.9481712579727173,-0.18484888970851898,-0.7748368978500366,-1.1764864921569824,-0.22760161757469177,-0.28539568185806274,-1.012697696685791,0.026432067155838013,-0.3614039421081543,-1.2356840372085571,-0.13234049081802368,-0.3697718381881714,-0.9605950117111206,-0.23321105539798737,-0.3467634618282318,-0.7620788812637329,-0.2722698748111725,-0.09398377686738968,-0.9955736994743347,0.005910059902817011,-0.17492994666099548,-1.2035351991653442,-0.155076801776886,-0.20367379486560822,-0.8670161962509155,-0.20821788907051086,-0.18256260454654694,-0.6588252782821655,-0.2009473741054535,0.09288769215345383,-0.9206150770187378,-0.042604636400938034,0.019269224256277084,-1.1366455554962158,-0.20157818496227264,-0.03528035059571266,-0.8111763000488281,-0.1711939573287964,-0.028672853484749794,-0.5880075097084045,-0.1023380234837532,0.2763625383377075,-0.7976294755935669,-0.09759634733200073,0.18897168338298798,-0.9579513669013977,-0.19076481461524963,0.11714340001344681,-0.7165388464927673,-0.14803431928157806,0.11620903015136719,-0.5417277216911316,-0.08378643542528152
A,0.0,0.0,0.0,-0.2801051139831543,-0.23571665585041046,-0.08365275710821152,-0.4939020872116089,-0.6223496198654175,-0.1267879605293274,-0.6323384642601013,-0.9298807382583618,-0.1800854653120041,-0.7704396843910217,-1.1541812419891357,-0.21799223124980927,-0.2876415252685547,-1.0061564445495605,0.02607833594083786,-0.3648815453052521,-1.2018587589263916,-0.1279853880405426,-0.363729327917099,-0.912753701210022,-0.22777681052684784,-0.33979058265686035,-0.7113458514213562,-0.26770883798599243,-0.100322425365448,-0.9949550032615662,0.005973152816295624,-0.18142834305763245,-1.1612753868103027,-0.14641422033309937,-0.20229166746139526,-0.8175962567329407,-0.19787707924842834,-0.1789754033088684,-0.6107289791107178,-0.19194573163986206,0.088627390563488,-0.920527994632721,-0.04194401949644089,0.016865355893969536,-1.0862795114517212,-0.19407902657985687,-0.03035239316523075,-0.7577067613601685,-0.16331236064434052,-0.02203250303864479,-0.5443400144577026,-0.09692251682281494,0.2759803533554077,-0.803892195224762,-0.0967094674706459,0.1867985874414444,-0.9376999139785767,-0.18511247634887695,0.1229168251156807,-0.6916314959526062,-0.13937409222126007,0.12471175193786621,-0.523287296295166,-0.07417578995227814
A,0.0,0.0,0.0,-0.32665202021598816,-0.29481950402259827,-0.07045435905456543,-0.5651283860206604,-0.7915136814117432,-0.09650583565235138,-0.6884710192680359,-1.179580807685852,-0.13407005369663239,-0.8308154940605164,-1.4184125661849976,-0.1580524444580078,-0.33092859387397766,-1.0284924507141113,0.004301629029214382,-0.3780282437801361,-1.277662992477417,-0.15504512190818787,-0.3830730617046356,-0.9439890384674072,-0.25222963094711304,-0.3753584027290344,-0.6600066423416138,-0.2887338399887085,-0.09985291212797165,-0.9950022101402283,-0.027863360941410065,-0.16328729689121246,-1.2406476736068726,-0.20186540484428406,-0.18134108185768127,-0.848319947719574,-0.2521081864833832,-0.17963628470897675,-0.5269308090209961,-0.23780493438243866,0.1254384070634842,-0.9254732728004456,-0.08423206955194473,0.06389836966991425,-1.1348909139633179,-0.2547628581523895,0.020945878699421883,-0.7334076762199402,-0.211821049451828,-0.003456536680459976,-0.43989357352256775,-0.1288597732782364,0.34914153814315796,-0.8152115345001221,-0.14533129334449768,0.2696017324924469,-0.9974535703659058,-0.24096402525901794,0.20650801062583923,-0.7070437669754028,-0.18051943182945251,0.18077769875526428,-0.5017179846763611,-0.10393360257148743
