2026-03-01 21:36:33 | INFO     | SignSense            | log_session_start    | ======================================================================
2026-03-01 21:36:33 | INFO     | SignSense            | log_session_start    | SIGNSENSE SESSION STARTED
2026-03-01 21:36:33 | INFO     | SignSense            | log_session_start    | ======================================================================
2026-03-01 21:36:33 | INFO     | SignSense            | log_session_start    | Log file: D:\CODE FOLDER JEFF\SignSense\logs\signsense_20260301_213632.log
2026-03-01 21:36:33 | INFO     | SignSense            | log_session_start    | Python: 3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]
2026-03-01 21:36:33 | INFO     | SignSense            | log_session_start    | Platform: win32
2026-03-01 21:36:33 | INFO     | SignSense            | log_session_start    | ======================================================================
2026-03-01 21:36:33 | INFO     | SignSense            | main                 | SignSense window created: 640x480
2026-03-01 21:36:33 | INFO     | SignSense            | main                 | Drag the window corner to resize.
2026-03-01 21:36:33 | INFO     | SignSense            | main                 | STATE: MAIN_MENU
2026-03-01 21:36:33 | INFO     | SignSense            | run_main_menu        | -> Rendering MAIN MENU
2026-03-01 21:36:35 | INFO     | SignSense            | main                 | STATE: LEVEL_SELECT
2026-03-01 21:36:35 | INFO     | SignSense            | run_level_select     | -> Rendering LEVEL SELECT
2026-03-01 21:37:04 | INFO     | SignSense            | main                 | STATE: MAIN_MENU
2026-03-01 21:37:04 | INFO     | SignSense            | run_main_menu        | -> Rendering MAIN MENU
2026-03-01 21:37:05 | INFO     | SignSense            | log_session_end      | ======================================================================
2026-03-01 21:37:05 | INFO     | SignSense            | log_session_end      | SIGNSENSE SESSION ENDED
2026-03-01 21:37:05 | INFO     | SignSense            | log_session_end      | ======================================================================
2026-03-01 21:37:05 | INFO     | SignSense            | report               | ======================================================================
2026-03-01 21:37:05 | INFO     | SignSense            | report               | PERFORMANCE REPORT
2026-03-01 21:37:05 | INFO     | SignSense            | report               | ======================================================================
2026-03-01 21:37:05 | INFO     | SignSense            | report               | ======================================================================
2026-03-01 21:37:05 | INFO     | SignSense            | main                 | SignSense closed.
