2026-03-01 21:30:51 | INFO     | SignSense            | log_session_start    | ======================================================================
2026-03-01 21:30:51 | INFO     | SignSense            | log_session_start    | SIGNSENSE SESSION STARTED
2026-03-01 21:30:51 | INFO     | SignSense            | log_session_start    | ======================================================================
2026-03-01 21:30:51 | INFO     | SignSense            | log_session_start    | Log file: D:\CODE FOLDER JEFF\SignSense\logs\signsense_20260301_213050.log
2026-03-01 21:30:51 | INFO     | SignSense            | log_session_start    | Python: 3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]
2026-03-01 21:30:51 | INFO     | SignSense            | log_session_start    | Platform: win32
2026-03-01 21:30:51 | INFO     | SignSense            | log_session_start    | ======================================================================
2026-03-01 21:30:51 | INFO     | SignSense            | main                 | SignSense window created: 640x480
2026-03-01 21:30:51 | INFO     | SignSense            | main                 | Drag the window corner to resize.
2026-03-01 21:30:51 | INFO     | SignSense            | main                 | STATE: MAIN_MENU
2026-03-01 21:30:51 | INFO     | SignSense            | run_main_menu        | -> Rendering MAIN MENU
2026-03-01 21:30:53 | INFO     | SignSense            | main                 | STATE: LEVEL_SELECT
2026-03-01 21:30:53 | INFO     | SignSense            | run_level_select     | -> Rendering LEVEL SELECT
2026-03-01 21:30:57 | INFO     | SignSense            | run_level_select     | Window closed from level select
2026-03-01 21:30:57 | INFO     | SignSense            | main                 | STATE: MAIN_MENU
2026-03-01 21:30:57 | INFO     | SignSense            | run_main_menu        | -> Rendering MAIN MENU
2026-03-01 21:30:58 | ERROR    | SignSense            | log_error            | Error in Main: error: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\highgui\src\window_w32.cpp:2552: error: (-27:Null pointer) NULL window: 'SignSense' in function 'cvSetMouseCallback'
 [Unexpected error in state machine]
2026-03-01 21:30:58 | INFO     | SignSense            | log_session_end      | ======================================================================
2026-03-01 21:30:58 | INFO     | SignSense            | log_session_end      | SIGNSENSE SESSION ENDED
2026-03-01 21:30:58 | INFO     | SignSense            | log_session_end      | ======================================================================
2026-03-01 21:30:58 | INFO     | SignSense            | report               | ======================================================================
2026-03-01 21:30:58 | INFO     | SignSense            | report               | PERFORMANCE REPORT
2026-03-01 21:30:58 | INFO     | SignSense            | report               | ======================================================================
2026-03-01 21:30:58 | INFO     | SignSense            | report               | ======================================================================
2026-03-01 21:30:58 | INFO     | SignSense            | main                 | SignSense closed.
